Provinces,indicatorName,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,Water_resoueces,35.1,26.8,20.3,24.81,39.5,26.81,23.1,21.84,34.2,23.81,22.07,23.18,21.34
Tianjin,Water_resoueces,18.9,12.8,11.37,14.64,32.94,15.39,9.2,15.24,18.3,11.31,10.11,10.63,14.31
Hebei,Water_resoueces,208.3,135.1,106.16,175.86,235.53,157.15,138.9,141.16,161,119.79,107.34,134.57,154.24
Shanxi,Water_resoueces,134.1,94,111.01,126.55,106.25,124.34,91.5,85.76,87.4,103.4,88.52,84.13,92.51
Inner Mongolia Autonomous Region,Water_resoueces,426.5,537,537.79,959.81,510.25,419,388.5,378.15,412.1,295.86,411.29,456.18,437.6
Liaoning,Water_resoueces,331.6,179,145.93,463.17,547.3,294.79,606.7,170.96,266,261.72,261.36,377.2,285.65
Jilin,Water_resoueces,488.8,331.3,306.03,607.4,460.47,315.89,686.7,298.04,332,346.04,353.63,559.66,323.71
Heilongjiang,Water_resoueces,843.7,814.1,944.34,1419.58,841.41,629.48,853.5,989.61,462,491.85,727.93,744.27,652.14
Shanghai,Water_resoueces,61,64.1,47.15,28.03,33.9,20.72,36.8,41.57,37,34.5,27.64,24.47,24.98
Jiangsu,Water_resoueces,741.7,582.1,399.34,283.53,373.33,492.4,383.5,400.31,378,495.71,404.4,466.96,204.02
Zhejiang,Water_resoueces,1323.3,1407.1,1132.15,931.34,1444.79,744.96,1398.6,931.35,855.2,892.15,903.59,1014.35,675.67
Anhui,Water_resoueces,1245.2,914.1,778.48,585.59,701,602.25,922.8,733.1,699.3,712.46,580.5,719.25,500.65
Fujian,Water_resoueces,2109,1325.9,1219.62,1151.9,1511.44,774.85,1652.7,800.81,1036.9,1072.9,1623.48,1401.12,712.23
Jiangxi,Water_resoueces,2221.1,2001.2,1631.81,1423.99,2174.36,1037.88,2275.5,1166.91,1356.2,1112.96,1629.97,1510.1,1034.63
Shandong,Water_resoueces,220.3,168.4,148.44,291.7,274.3,347.63,309.1,284.95,328.7,387.11,199.32,415.86,349.48
Henan,Water_resoueces,337.3,287.2,283.36,213.07,265.54,327.97,534.9,328.77,371.3,465.18,321.78,558.52,406.59
Hubei,Water_resoueces,1498,1015.6,914.29,790.15,813.88,757.54,1268.7,825.28,1033.9,1015.06,639.69,933.96,926.36
Hunan,Water_resoueces,2196.6,1919.3,1799.43,1581.97,1988.94,1126.94,1906.6,1400.47,1600,1426.55,1770.29,1671.04,1641.28
Guangdong,Water_resoueces,2458.6,1933.4,1718.45,2263.17,2026.55,1471.26,1998.8,1613.68,2206.8,1581.15,2216.17,1747.49,1187.67
Guangxi Zhuang Autonomous Region,Water_resoueces,2178.6,2433.6,1990.9,2057.33,2087.4,1350.02,1823.6,1484.31,2282.5,1386.26,1881.08,1720.82,1604.52
Hainan,Water_resoueces,489.9,198.2,383.51,502.11,364.31,484.1,479.8,480.71,419.1,283.53,227.59,307.29,171.14
Chongqing,Water_resoueces,604.9,456.2,642.58,474.35,476.89,514.58,464.3,455.92,576.9,662.96,380.32,509.78,558.76
Sichuan,Water_resoueces,2340.9,2220.5,2557.66,2470.27,2892.36,2239.49,2575.3,2332.16,2489.9,2299.84,1865.84,2922.58,2434.17
Guizhou,Water_resoueces,1066.1,1153.7,1213.12,759.44,974.02,626.02,956.5,910.03,1140.7,1054.62,814.63,834.63,990.99
Yunnan,Water_resoueces,2088.9,1871.9,1726.63,1706.69,1689.77,1480.2,1941.4,1576.6,2314.5,2255.52,1711.67,1846.43,2106.3
Xizang Autonomous Region,Water_resoueces,4642.2,3853,4416.3,4415.74,4196.35,4402.71,4593,4029.16,4560.2,4321.38,4157.14,4451.07,4665.16
Shanxi,Water_resoueces,271.5,333.4,351.64,353.78,390.49,604.42,507.5,416.49,304,377.03,275.51,490.59,309.41
Gansu,Water_resoueces,168.4,164.8,198.38,268.9,266.95,242.21,215.2,209.02,187.5,228.73,184.59,269.6,171.93
Qinghai,Water_resoueces,612.7,589.3,793.86,645.61,895.22,733.12,741.1,895.11,658.1,661.62,569,876.1,606.81
Ningxia Hui Autonomous Region,Water_resoueces,9.6,9.2,10.07,11.4,10.81,8.76,9.3,8.42,9.2,10.39,10.61,8.53,9.86
Xinjiang Uygur Autonomous Region,Water_resoueces,1093.4,930.3,726.93,955.99,900.63,885.65,1113.1,754.31,815.6,863.77,953.1,962.81,855.39
